Designation,Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Software Engineer,INDMoney,2.8,113,FinTech,Hyderabad +7 other locations,0 - 3 yrs exp.,₹ 15.8 L/yr - ₹ 17.5 L/yr,15.8,17.5,,"Job Security, Promotions, Company Culture"
Software Developer,Microsoft Research,4.4,104,,Hyderabad +9 other locations,0 - 6 yrs exp.,₹ 32.1 L/yr - ₹ 43.4 L/yr,32.1,43.4,"Company Culture, Work Life Balance, Work Satisfaction",
Software Developer,DE Shaw,3.6,207,Financial Services,Hyderabad +6 other locations,0 - 3 yrs exp.,₹ 29.6 L/yr - ₹ 44 L/yr,29.6,44,Salary,"Work Satisfaction, Skill Development, Promotions"
Software Developer,Stripe,2.9,63,FinTech,Hyderabad +3 other locations,0 - 3 yrs exp.,₹ 29 L/yr - ₹ 42 L/yr,29,42,Salary,"Promotions, Work Satisfaction, Job Security"
Software Developer,Atlassian,3.0,180,Software Product,Hyderabad +6 other locations,0 - 7 yrs exp.,₹ 28.1 L/yr - ₹ 39.6 L/yr,28.1,39.6,Salary,"Job Security, Promotions, Skill Development"
Software Developer,Navi Limited,3.1,402,FinTech,Hyderabad +18 other locations,0 - 3 yrs exp.,₹ 24.9 L/yr - ₹ 35.8 L/yr,24.9,35.8,,"Job Security, Promotions, Work Life Balance"
Software Developer,SPRINKLR,2.9,404,Software Product,Hyderabad +8 other locations,0 - 3 yrs exp.,₹ 25.3 L/yr - ₹ 35.3 L/yr,25.3,35.3,,"Work Satisfaction, Job Security, Promotions"
Software Developer,Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 8 yrs exp.,₹ 27 L/yr - ₹ 31.6 L/yr,27,31.6,"Work Life Balance, Company Culture","Job Security, Promotions"
Software Developer,Flipkart,3.9,13.7k,Internet,Hyderabad +577 other locations,0 - 5 yrs exp.,₹ 23.9 L/yr - ₹ 30.5 L/yr,23.9,30.5,"Company Culture, Skill Development, Salary",Promotions
Software Developer,Arcesium,3.3,398,IT Services & Consulting,Hyderabad +8 other locations,0 - 4 yrs exp.,₹ 21.9 L/yr - ₹ 31.4 L/yr,21.9,31.4,,"Work Life Balance, Work Satisfaction, Promotions"
Software Developer,MathWorks,4.0,166,Software Product,Hyderabad +5 other locations,0 - 4 yrs exp.,₹ 20.9 L/yr - ₹ 30.8 L/yr,20.9,30.8,"Work Life Balance, Company Culture, Job Security",Promotions
Software Developer,CRED,3.5,188,FinTech,Hyderabad +15 other locations,0 - 3 yrs exp.,₹ 22.5 L/yr - ₹ 29 L/yr,22.5,29,,"Promotions, Job Security, Work Life Balance"
Software Developer,Meesho,3.7,2.3k,Internet,Hyderabad +142 other locations,0 - 5 yrs exp.,₹ 20.1 L/yr - ₹ 27.5 L/yr,20.1,27.5,Salary,"Job Security, Promotions"
Software Developer,PhonePe,3.9,4.1k,FinTech,Hyderabad +427 other locations,0 - 5 yrs exp.,₹ 18.4 L/yr - ₹ 26.9 L/yr,18.4,26.9,"Salary, Company Culture, Work Life Balance",
